# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       6.878267057770e-11       8.351979482148e-15       6.338189682778e-13       0.000000000000e+00       9.946797480093e-11      -7.410236293616e-13      -9.212544950410e-15 
   41       6.734800310268e-11       9.066164516267e-15       6.449773425802e-13       0.000000000000e+00       9.454590395427e-11      -6.966477008673e-13      -7.098312018449e-15 
   42       6.596184606986e-11       9.822646524909e-15       6.549205727373e-13       0.000000000000e+00       8.994250630789e-11      -6.537242647722e-13      -6.320674567004e-15 
   43       6.462885730827e-11       1.062097229681e-14       6.636081956358e-13       0.000000000000e+00       8.564559473546e-11      -6.123360038527e-13      -6.616287751522e-15 
   44       6.334894744594e-11       1.146034872458e-14       6.710052296190e-13       0.000000000000e+00       8.162395104587e-11      -5.724644745464e-13      -7.643054904206e-15 
   45       6.211980826723e-11       1.233994283717e-14       6.770793195097e-13       0.000000000000e+00       7.783848331099e-11      -5.340880943544e-13      -9.028434295089e-15 
   46       6.094642351105e-11       1.325993689128e-14       6.817904363603e-13       0.000000000000e+00       7.428324603834e-11      -4.975320312753e-13      -1.054347719666e-14 
   47       5.983366199979e-11       1.422075403975e-14       6.850986162621e-13       0.000000000000e+00       7.095410602667e-11      -4.632077629264e-13      -1.197223313059e-14 
   48       5.878330424580e-11       1.522276342208e-14       6.869669718027e-13       0.000000000000e+00       6.783636953573e-11      -4.315125800241e-13      -1.306098778793e-14 
   49       5.779377840528e-11       1.626627823525e-14       6.873618145879e-13       0.000000000000e+00       6.490399692582e-11      -4.028268336374e-13      -1.351628758304e-14 
   50       5.686223031277e-11       1.735155617044e-14       6.862517402687e-13       0.000000000000e+00       6.212744685913e-11      -3.774020860893e-13      -1.309872463297e-14 
   51       5.599200858253e-11       1.847880533884e-14       6.836043065845e-13       0.000000000000e+00       5.950154108468e-11      -3.549961583181e-13      -1.193888592364e-14 
   52       5.518675483342e-11       1.964817661957e-14       6.793886653976e-13       0.000000000000e+00       5.702380569057e-11      -3.351342619579e-13      -1.030375029373e-14 
   53       5.444809663586e-11       2.085975965957e-14       6.735765933267e-13       0.000000000000e+00       5.468613233882e-11      -3.172017379886e-13      -8.510894451588e-15 
   54       5.377549330475e-11       2.211358105574e-14       6.661425654442e-13       0.000000000000e+00       5.247439900192e-11      -3.004361700441e-13      -6.931023902188e-15 
   55       5.316761860747e-11       2.340961652797e-14       6.570640811022e-13       0.000000000000e+00       5.037277967759e-11      -2.841028001953e-13      -5.901199002656e-15 
   56       5.262726440433e-11       2.474783514430e-14       6.463225673596e-13       0.000000000000e+00       4.837879612623e-11      -2.680898740375e-13      -5.433471676186e-15 
   57       5.215738507196e-11       2.612816289808e-14       6.339028290733e-13       0.000000000000e+00       4.649134099850e-11      -2.524473779431e-13      -5.438300920134e-15 
   58       5.175957504280e-11       2.755046843455e-14       6.197928981367e-13       0.000000000000e+00       4.470612416337e-11      -2.372159655566e-13      -5.806588264519e-15 
   59       5.143397447785e-11       2.901456177808e-14       6.039841170015e-13       0.000000000000e+00       4.301547613220e-11      -2.224262127575e-13      -6.408729288373e-15 
   60       5.117917493951e-11       3.052019305935e-14       5.864712221979e-13       0.000000000000e+00       4.140815148273e-11      -2.080978726231e-13      -7.093665136088e-15 
   61       5.099342903722e-11       3.206701435633e-14       5.672507716424e-13       0.000000000000e+00       3.987245199641e-11      -1.942491168255e-13      -7.719973989271e-15 
   62       5.087881004467e-11       3.365445808732e-14       5.463158251011e-13       0.000000000000e+00       3.840685996669e-11      -1.809283692876e-13      -8.259446372352e-15 
   63       5.083782281712e-11       3.528182893910e-14       5.236602124744e-13       0.000000000000e+00       3.701145368543e-11      -1.681883283701e-13      -8.715181138847e-15 
   64       5.087213030314e-11       3.694833594990e-14       4.992801150054e-13       0.000000000000e+00       3.568470890521e-11      -1.560761912674e-13      -9.091663786277e-15 
   65       5.098250059140e-11       3.865309006622e-14       4.731740962501e-13       0.000000000000e+00       3.442340759531e-11      -1.446332258330e-13      -9.394834576073e-15 
   66       5.116875395758e-11       4.039510169971e-14       4.453431330484e-13       0.000000000000e+00       3.322254669778e-11      -1.338943424040e-13      -9.632156653483e-15 
