# dimensionless [l(l+1)/2pi] C_l's for adiabatic decaying scalar (ADDCS) mode
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       3.659387703234e-11       3.061463490168e-16      -1.833779811791e-14       0.000000000000e+00       2.227007125327e-11       2.605849274101e-12       1.297310321660e-15 
   41       3.726629357432e-11       3.428677004370e-16      -1.774860140088e-14       0.000000000000e+00       2.110061249765e-11       2.481545945382e-12       2.076078667928e-15 
   42       3.795164236419e-11       3.776426354327e-16      -1.688120351333e-14       0.000000000000e+00       2.000907438620e-11       2.365473075708e-12       2.520516250572e-15 
   43       3.865112245659e-11       4.093862260757e-16      -1.580065057853e-14       0.000000000000e+00       1.899237519645e-11       2.257342472782e-12       2.673115454671e-15 
   44       3.936528736877e-11       4.368857016670e-16      -1.458812901153e-14       0.000000000000e+00       1.804288815370e-11       2.156381529724e-12       2.591895731376e-15 
   45       4.009415700703e-11       4.590386053355e-16      -1.333349400152e-14       0.000000000000e+00       1.715111013837e-11       2.061598343204e-12       2.345408846429e-15 
   46       4.083775186000e-11       4.756651311734e-16      -1.210790160791e-14       0.000000000000e+00       1.631546819625e-11       1.972762747306e-12       1.993539933865e-15 
   47       4.159560408699e-11       4.869292864623e-16      -1.098464756440e-14       0.000000000000e+00       1.553483195426e-11       1.889652764019e-12       1.602723717385e-15 
   48       4.236653672329e-11       4.931246279229e-16      -1.004737293870e-14       0.000000000000e+00       1.480555816046e-11       1.811755622040e-12       1.252141825428e-15 
   49       4.314860673454e-11       4.946827932027e-16      -9.390549537297e-15       0.000000000000e+00       1.412130485564e-11       1.738246567337e-12       1.034408552381e-15 
   50       4.393970089355e-11       4.921316501956e-16      -9.101056192048e-15       0.000000000000e+00       1.347490464180e-11       1.668234012781e-12       1.028535821424e-15 
   51       4.473964620457e-11       4.859365597363e-16      -9.195885892839e-15       0.000000000000e+00       1.286501505534e-11       1.601622594412e-12       1.208585895156e-15 
   52       4.554857389597e-11       4.766307726572e-16      -9.668369012157e-15       0.000000000000e+00       1.229095214667e-11       1.538447754796e-12       1.511408856161e-15 
   53       4.636629106311e-11       4.648680604891e-16      -1.050520974971e-14       0.000000000000e+00       1.175070233643e-11       1.478621428561e-12       1.861592219966e-15 
   54       4.719225444386e-11       4.514288760224e-16      -1.168608169637e-14       0.000000000000e+00       1.124083348574e-11       1.421923386562e-12       2.170842188100e-15 
   55       4.802581553266e-11       4.371475373898e-16      -1.319193528229e-14       0.000000000000e+00       1.075751561896e-11       1.368079467993e-12       2.358353464486e-15 
   56       4.886708730642e-11       4.226584842163e-16      -1.503326336004e-14       0.000000000000e+00       1.030008375955e-11       1.317038864884e-12       2.419261962390e-15 
   57       4.971624687766e-11       4.085977767564e-16      -1.722814899755e-14       0.000000000000e+00       9.868204411668e-12       1.268750559650e-12       2.372113435556e-15 
   58       5.057326770819e-11       3.956795660351e-16      -1.979410520226e-14       0.000000000000e+00       9.460798751535e-12       1.223077316411e-12       2.239559458315e-15 
   59       5.143790395626e-11       3.846991774036e-16      -2.274800990901e-14       0.000000000000e+00       9.075996930878e-12       1.179790410399e-12       2.048556414877e-15 
   60       5.230967482367e-11       3.765361940954e-16      -2.610604096811e-14       0.000000000000e+00       8.711092380416e-12       1.138564357369e-12       1.830564488617e-15 
   61       5.318803892704e-11       3.720563463226e-16      -2.988270442695e-14       0.000000000000e+00       8.363276708030e-12       1.099065724773e-12       1.615285581227e-15 
