# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       3.503231258092e-10       5.375127865645e-15       1.521991914164e-13       0.000000000000e+00       2.022156204196e-10       2.238557419343e-11      -9.245704394900e-15 
   41       3.557399258361e-10       5.793698565214e-15       1.265876031015e-13       0.000000000000e+00       1.920052154353e-10       2.135517853312e-11      -4.076074829062e-15 
   42       3.612115781274e-10       6.279357863694e-15       1.007370256229e-13       0.000000000000e+00       1.824624854512e-10       2.038630779385e-11      -1.734571330163e-15 
   43       3.667550553665e-10       6.831328342734e-15       7.432038385984e-14       0.000000000000e+00       1.735615876162e-10       1.947922873432e-11      -1.728523593626e-15 
   44       3.723822239128e-10       7.447675531828e-15       4.691514380240e-14       0.000000000000e+00       1.652371314310e-10       1.863078847379e-11      -3.410150144219e-15 
   45       3.780997855399e-10       8.126353936430e-15       1.804322005547e-14       0.000000000000e+00       1.574073770514e-10       1.783581599740e-11      -6.059323430929e-15 
   46       3.839104839495e-10       8.868912735467e-15      -1.267983153595e-14       0.000000000000e+00       1.500595090011e-10       1.709249960654e-11      -9.185046156780e-15 
   47       3.898112468738e-10       9.677757398804e-15      -4.566040682830e-14       0.000000000000e+00       1.431845081437e-10       1.639813110119e-11      -1.229701486671e-14 
   48       3.957921312429e-10       1.055510005297e-14      -8.137305609618e-14       0.000000000000e+00       1.367514382302e-10       1.574737447524e-11      -1.481605350744e-14 
   49       4.018357591156e-10       1.150294185969e-14      -1.203642816119e-13       0.000000000000e+00       1.307058191309e-10       1.513207736998e-11      -1.606941197019e-14 
   50       4.079238987985e-10       1.252313390980e-14      -1.631224655083e-13       0.000000000000e+00       1.249859268056e-10       1.454364720605e-11      -1.549873529293e-14 
   51       4.140606228044e-10       1.361762027286e-14      -2.096372199002e-13       0.000000000000e+00       1.195806833084e-10       1.398137736956e-11      -1.336142879237e-14 
   52       4.202544608309e-10       1.478823046085e-14      -2.597269916831e-13       0.000000000000e+00       1.144846684017e-10       1.344605516076e-11      -1.021154381174e-14 
   53       4.265115815495e-10       1.603659308261e-14      -3.131600354887e-13       0.000000000000e+00       1.096808016198e-10       1.293752839945e-11      -6.708926886238e-15 
   54       4.328355647792e-10       1.736412191728e-14      -3.696519115123e-13       0.000000000000e+00       1.051395591115e-10       1.245463756915e-11      -3.624526316879e-15 
   55       4.392281834431e-10       1.877210070225e-14      -4.289430598158e-13       0.000000000000e+00       1.008279036114e-10       1.199574386540e-11      -1.660611725550e-15 
   56       4.456924988381e-10       2.026199406741e-14      -4.910598225543e-13       0.000000000000e+00       9.674046630278e-11       1.156062240614e-11      -8.469760764355e-16 
   57       4.522301352428e-10       2.183518945007e-14      -5.561138825237e-13       0.000000000000e+00       9.287473943804e-11       1.114892048066e-11      -1.004032155075e-15 
   58       4.588401531239e-10       2.349289528670e-14      -6.242284721271e-13       0.000000000000e+00       8.922164597521e-11       1.075955918433e-11      -1.912894663313e-15 
   59       4.655188606537e-10       2.523613093236e-14      -6.955389910656e-13       0.000000000000e+00       8.576513485468e-11       1.039068877982e-11      -3.313475610531e-15 
   60       4.722596252265e-10       2.706571658005e-14      -7.701936240290e-13       0.000000000000e+00       8.248177627584e-11       1.003964405833e-11      -4.902579704877e-15 
   61       4.790556143257e-10       2.898221328484e-14      -8.483304019362e-13       0.000000000000e+00       7.934721841642e-11       9.703667229611e-12      -6.395809860636e-15 
   62       4.859091634466e-10       3.098575011015e-14      -9.300009715339e-13       0.000000000000e+00       7.635816675955e-11       9.382367188566e-12      -7.733830017517e-15 
   63       4.928241860071e-10       3.307614011780e-14      -1.015230733299e-12       0.000000000000e+00       7.351464252611e-11       9.075735557292e-12      -8.919231163875e-15 
   64       4.998033359010e-10       3.525291540693e-14      -1.104040760836e-12       0.000000000000e+00       7.081337326238e-11       8.783407982762e-12      -9.956924296110e-15 
   65       5.068479119610e-10       3.751531545028e-14      -1.196447671141e-12       0.000000000000e+00       6.824760582512e-11       8.504643851147e-12      -1.085426045663e-14 
   66       5.139577624216e-10       3.986227543039e-14      -1.292463494865e-12       0.000000000000e+00       6.580691936660e-11       8.238306002159e-12      -1.162115077181e-14 
   67       5.211311893813e-10       4.229241457594e-14      -1.392095546573e-12       0.000000000000e+00       6.347703831972e-11       7.982840443374e-12      -1.227018648996e-14 
   68       5.283661608726e-10       4.480425605869e-14      -1.495342116055e-12       0.000000000000e+00       6.124361473304e-11       7.736705921468e-12      -1.281614849291e-14 
   69       5.356644458152e-10       4.739696449689e-14      -1.602178818443e-12       0.000000000000e+00       5.910488327068e-11       7.499809055888e-12      -1.327415210166e-14 
   70       5.430281491359e-10       5.006973762286e-14      -1.712569232491e-12       0.000000000000e+00       5.706124626857e-11       7.272324895099e-12      -1.366134027367e-14 
   71       5.504584173125e-10       5.282158230588e-14      -1.826468602441e-12       0.000000000000e+00       5.511144730268e-11       7.054264166217e-12      -1.399756342011e-14 
   72       5.579553762799e-10       5.565130881076e-14      -1.943823601402e-12       0.000000000000e+00       5.325248569199e-11       6.845464494642e-12      -1.430548382936e-14 
   73       5.655180693353e-10       5.855752505633e-14      -2.064572094737e-12       0.000000000000e+00       5.147953100146e-11       6.645581623681e-12      -1.461068009046e-14 
   74       5.731443950435e-10       6.153863087400e-14      -2.188642903447e-12       0.000000000000e+00       4.978583754496e-11       6.454080634173e-12      -1.494175151660e-14 
   75       5.808310451422e-10       6.459281226629e-14      -2.315955567551e-12       0.000000000000e+00       4.816265888829e-11       6.270227164115e-12      -1.533042256860e-14 
   76       5.885747274406e-10       6.771788887122e-14      -2.446419929340e-12       0.000000000000e+00       4.660140186330e-11       6.093283949222e-12      -1.580246444846e-14 
   77       5.963762292281e-10       7.091083693456e-14      -2.579935318434e-12       0.000000000000e+00       4.510073108062e-11       5.923161230804e-12      -1.634831780561e-14 
   78       6.042369854767e-10       7.416816851402e-14      -2.716390787543e-12       0.000000000000e+00       4.366061064738e-11       5.759869551775e-12      -1.694727776676e-14 
   79       6.121578244172e-10       7.748606194631e-14      -2.855665042989e-12       0.000000000000e+00       4.228014065475e-11       5.603320461470e-12      -1.757611899620e-14 
   80       6.201389317947e-10       8.086035309552e-14      -2.997626204402e-12       0.000000000000e+00       4.095751760399e-11       5.453321945542e-12      -1.820901181784e-14 
   81       6.281798151234e-10       8.428652660151e-14      -3.142131564407e-12       0.000000000000e+00       3.968999483231e-11       5.309573855859e-12      -1.881743833742e-14 
   82       6.362792679421e-10       8.775970712834e-14      -3.289027348315e-12       0.000000000000e+00       3.847384293892e-11       5.171663340403e-12      -1.937010856454e-14 
